id,name,brand
5,7878,CX
6,4040BT,CX
8,666BT,CX
10,9090BT,PZ
88,COOLER 1201,BUSH
13,555BT,CX
14,15000BT,PZ
15,9696BT,CX
1,4020BT,CX
4,16000BT,KENWA
89,COOLER DX TOWER,CX
90,COOLER PLAYER,BUSH
16,8700BT,PZ
17,4444BT,PZ
19,13000BT,KENWA
20,9010BT,CX
21,12000BT,PZ
23,9999BT,CX
27,COOLER THUNDER,CX
28,9898BT,PZ
29,WM 6500,BELTEK
30,9500BT,CX
31,1195BT,CX
7,LED 24,CX
91,7171,CX
32,1010BT,KENWA
11,WM 8200,SVL WM
33,TRALLY 1550,CX
34,4100,PZ
35,16000bt,KENWA
36,9700bt,PZ
38,COOLER HURICANE,CX
39,9191BT,CX
37,9595BT,CX
40,WM8500,SVL WM
41,14000BT,CX
42,4050BT,CX
44,4092BT,PZ
45,6500,SVL WM
46,5000BT,CX
47,7676BT,PZ
48,LED24,BUSH
50,1185,KENWA
51,7474BT,CX
52,4855,PZ
53,8501BT,KENWA
54,10000BT,CX
55,COOLER TOWER 12,CX
56,660bt,KENWA
12, LED 32,SUNTECH
9, LED 32,PZ
3, LED 32,BUSH
2,LED 32,KENWA
18,LED 32SMART,PZ
22,LED 32,CX
92,LED 17,BUSH
26,LED 40,BUSH
58,4100BT,CX
59,COOLER OPTECH,BUSH
60,18000BT,CX
61,COOLER OPTECH,KENWA
62,LED 50,BUSH
63,FORCE18,KENWA
64,WM7800,SVL WM
65,LED 24,KENWA
66,LED 40,BELTEK
67,7777,CX
68,7575,CX
49,24LED,KENWA
24, 40LED,CX
43, 17LED,BUSH
57, 40LED,PZ
25,40LED,KENWA
69,4094BT,PZ
70,8585BT,KENWA
71,WM 6800,SVL WM
72,4377,CX
73,COOLER SKY MAX,CX
74,4010BT,PZ
75,LED 32,BELTEK
76,COOLER BOLTEN,BUSH
77,WM 9000,SVL WM
78,5002BT,CX
79,565BT,PZ
80,WM6500,SVL WM
81,OSCOROP COOLER JOY,CX
82,888BT,PZ
83,COOLER HURICANE,BUSH
84,LED 40,CX
85,808BT,CX
86,19 LED,BUSH
87,PLAYER COOLER,BUSH
93,COOLER BLAST ,BUSH
94,850 TRALLY,CX
95,COOLER ALPHINE,BUSH
96,WM8200 ,BELTEK
97,COOLER OZONE,BUSH
98,COOLER DESERT,BUSH
99,3000BT,CX
100,COOLER STROM,BUSH
101,4000,CX
102,COMPO FAN,CX
103,6092,CX
104,COOLER PILOT 18,CX
105,COOLER HILTON,BUSH
106,4877,CX
107,8000,CX
108,5252 ,CX
109,COOLER FCON,BUSH
110,COOLER FOCUS,CX
111,COOLER IRON,KENWA
112,LED 32 S,KENWA
113,COOLER,OSCAR
114,COOLER BOOM 16,CX
115,COOLER EURO,BUSH
116,COOLER CITY,BUSH
117,COOLER AIRCON,BUSH
118,7500BT,CX
119,4500,CX
120,7070BT,CX
121,COOLER SKY KING,CX
122,COOLER BOOM 12,CX
123,COOLER ICON,BUSH
124,6060 BT,CX
125,144 ,CX
126,COOLER AMAZE,BUSH
127,COOLER JOY,BUSH
128,COOLER ORCHID,BUSH
129,COOLER OYSTER,BUSH
130,LED 24,SVL
131,COOLER FLOYED,BUSH
132,COOLER FIGGU,BUSH
133,COOLER PLANET ,BUSH
134, COOLER ORCHID,BUSH
135,CANDY FIRE,CX
136,COOLER HICON,BUSH
137,899 BT,CX
138,LED 50,BELTEK
139,COOLER 46,KENWA
140,COOLER PRIME,BUSH
141,OSCORP COOLER,BUSH
142,19000,CX
143,COOLER WONDER,BUSH
144,LED 19,BUSH
145,6100,CX
146, COOLER COSMOOS,BUSH
147,810BT,CX
148,6094,CX
149,860 TRALLY,CX
150,4800,CX
151,TRALLY 1515,CX
152,6500,CX
153,WM 6250,SVL
154,4110BT,CX
155,5454 BT,CX
156,25000BT,CX
157,1060 BT,CX
158,LED 32GLASS,CX
159,LED 16,SVL
160,LED 32 SMART,BUSH
161,11000,CX
162,TRALLY 150B,CX
163,LED 40 ,SVL
196,5050,CX
197,LED 32,OSCORP
198,LED 50,CX
199,LED 50,KENWA
200,LED 50,PZ
201,WM8600,SVL WM
202,5800,PZ
203,1111,CX
204,6881BT,CX
205,9292,CX
206,LED 24,BELTEK
207,4562,CX
208,7501 BT,CX
209,4141 BT,CX
210,5400,CX
211,COOLER KING,CX
212,9550  ,CX
245,818 BT,CX
246,5001 BT,CX
247,32 S,CX
248,LED 32 S,CX
249,LED 40 S,BUSH
250,LED 40 S ,CX
251,LED 40S ,PZ
252,LED 40 S ,KENWA
