id,name,brand
253,6565BT,CX
254,7272bt,CX
255,6098,CX
256,8001CX,CX
257,20000cx,CX
258,WM 8000 SVL,SVL
259,2600,CX
268,LED 19,CX
261,4052,CX
262,3100,CX
263,1212,CX
264,4242,CX
265,LED 17,KENWA
266,LED 40 SMART,OSCORP
267,LED 50 SMART ,BUSH
269,LED 19 ,PZ
270,505 BT,CX
271,LED 32 SMART,OSCORP
272,WM 8200,SUJICON
273,7100,CX
274,LED 50 SMART,KENWA
275,13000BT,CX
276,13000BT,PZ
277,6262,KENWA
278,6262,Cemex
279,6262,Pizaro
280,CELLING FAN THUNDER,KENWA
281,4092BT,Cemex
282,409,Pizaro
283,9500 M,Cemex
284,LED 32 SMART,EGG
285,LED 32,EGG
286,COOLER SLIM ,BUSH
287,COOLER FREEZE ,BUSH
288,LED 22,Cemex
289,COOLER JUPITER,BUSH
290,LED 55 SMART,BUSH
291,COOLER OXAN ,BUSH
292,COOLER CHILL,BUSH
293,COOLER FROSTY,BUSH
294,COOLER COOL,BUSH
295,COOLER SVL,SVL
296,COOLER CRYSTAL,BUSH
297,COOLER WINGS,BUSH
